Year,Quarter,Provisional,Total,New_LT5Y,Old_O5Y
2006,Q1,False,90.7,92.1,89.8
2006,Q2,False,93.3,92.3,93.9
2006,Q3,False,94.8,91.7,96.7
2006,Q4,False,98.8,97.0,99.9
2007,Q1,False,98.6,98.0,98.9
2007,Q2,False,99.6,100.1,99.3
2007,Q3,False,100.7,100.2,100.9
2007,Q4,False,101.2,101.6,100.9
2008,Q1,False,101.4,101.3,101.5
2008,Q2,False,101.4,101.9,101.0
2008,Q3,False,102.2,103.0,101.7
2008,Q4,False,101.8,103.0,101.0
2009,Q1,False,98.1,97.7,98.3
2009,Q2,False,98.9,101.6,97.1
2009,Q3,False,97.0,100.2,95.0
2009,Q4,False,97.7,101.2,95.5
2010,Q1,False,96.3,98.9,94.7
2010,Q2,False,94.2,96.2,93.0
2010,Q3,False,92.0,95.2,89.9
2010,Q4,False,90.9,93.5,89.2
2011,Q1,False,91.1,93.8,89.4
2011,Q2,False,89.4,92.1,87.7
2011,Q3,False,87.6,91.4,85.3
2011,Q4,False,84.9,87.3,83.3
2012,Q1,False,81.5,82.8,80.7
2012,Q2,False,79.7,81.3,78.7
2012,Q3,False,76.6,78.8,75.2
2012,Q4,False,74.0,77.5,71.8
2013,Q1,False,72.1,74.3,70.8
2013,Q2,False,70.2,71.8,69.2
2013,Q3,False,68.8,70.2,67.9
2013,Q4,False,66.9,69.3,65.4
2014,Q1,False,65.6,68.1,64.0
2014,Q2,False,64.4,67.2,62.7
2014,Q3,False,64.0,66.2,62.7
2014,Q4,False,63.2,65.5,61.7
2015,Q1,False,62.9,65.2,61.5
2015,Q2,False,61.2,63.3,59.9
2015,Q3,False,60.2,61.9,59.1
2015,Q4,False,60.0,61.8,58.8
2016,Q1,False,60.2,61.7,59.2
2016,Q2,False,59.7,61.3,58.7
2016,Q3,False,59.3,60.7,58.4
2016,Q4,False,59.3,61.0,58.3
2017,Q1,False,59.0,60.8,57.9
2017,Q2,False,59.0,60.8,57.9
2017,Q3,False,58.9,60.4,57.9
2017,Q4,False,59.1,60.9,58.0
2018,Q1,False,59.3,61.2,58.1
2018,Q2,False,59.8,61.5,58.7
2018,Q3,False,60.2,62.1,59.1
2018,Q4,False,61.0,62.9,59.7
2019,Q1,False,62.6,64.5,61.4
2019,Q2,False,64.3,66.3,63.1
2019,Q3,False,65.2,67.4,63.9
2019,Q4,False,65.5,68.7,63.6
2020,Q1,False,66.8,69.5,65.1
2020,Q2,False,67.1,69.7,65.5
2020,Q3,False,67.7,70.3,66.1
2020,Q4,False,67.6,70.4,65.8
2021,Q1,False,69.8,72.9,67.9
2021,Q2,False,71.7,74.7,69.9
2021,Q3,False,73.7,76.6,71.9
2021,Q4,False,74.4,78.5,71.9
2022,Q1,True,76.7,80.9,74.1
2022,Q2,True,79.2,83.3,76.6
2022,Q3,True,82.3,86.4,79.8
2022,Q4,True,83.5,87.9,80.7
