date,EL_D1,EL_P2,EL_P5,EU27_2020_D1,EU27_2020_P2,EU27_2020_P5
1995,10.7,0.6,6.2,8.0,7.4,9.7
1996,11.6,11.1,6.6,7.8,7.7,9.8
1997,11.3,10.7,4.0,7.7,7.9,8.2
1998,11.1,11.9,16.3,7.5,6.3,9.0
1999,11.7,18.7,18.4,7.3,6.2,8.6
2000,12.0,18.0,3.1,7.1,6.1,8.2
2001,14.2,12.7,6.0,7.0,6.0,9.1
2002,13.8,11.9,12.1,6.9,5.7,9.0
2003,15.2,11.3,21.0,7.0,5.6,8.3
2004,14.6,8.7,12.3,6.8,5.6,8.3
2005,14.2,11.2,8.8,6.8,5.9,7.5
2006,13.7,9.9,9.5,6.6,5.7,8.2
2007,13.6,9.1,13.0,6.5,5.5,7.3
2008,13.1,11.1,14.1,6.4,5.6,7.7
2009,12.4,9.4,20.9,6.3,5.3,7.9
2010,12.4,8.5,17.5,6.3,5.1,8.6
2011,13.2,11.4,7.7,6.2,5.1,7.8
2012,13.5,10.8,5.5,6.2,5.6,6.7
2013,13.2,9.0,2.5,6.1,5.5,6.6
2014,14.6,6.9,13.6,5.9,5.4,5.7
2015,13.6,8.2,9.5,5.8,5.6,6.5
2016,13.7,6.9,1.9,5.8,5.7,8.3
2017,13.7,7.0,16.8,5.8,5.9,7.8
2018,13.8,7.5,2.6,5.9,5.9,7.3
2019,13.4,9.7,-3.4,5.8,6.0,7.0
2020,13.4,11.1,4.5,5.8,5.9,7.6
2021,13.4,9.3,15.7,5.6,5.6,7.9
2022,13.5,10.6,13.9,5.6,6.0,7.5
2023,13.6,8.4,9.6,5.6,6.2,7.7
