Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,87721772.0,6084767.0,81637005.0
1,Beverages and tobacco,Ποτά και καπνός,14387435.0,6522.0,14380913.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",439116457.0,72258349.0,366858108.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",217602528.0,225523002.0,-7920474.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,3066683.0,1525.0,3065158.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,65441609.0,63389654.0,2051955.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",785314066.0,18521431.0,766792635.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,21808487.0,2657831.0,19150656.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,14616084.0,3832489.0,10783595.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",96.0,,
