Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,148476823.0,16541312.0,131935511.0
1,Beverages and tobacco,Ποτά και καπνός,7585816.0,18550.0,7567266.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",33583751.0,62843595.0,-29259844.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",137226380.0,124853008.0,12373372.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,5442792.0,22650.0,5420142.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,87055488.0,65247903.0,21807585.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",348857539.0,20882314.0,327975225.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,152832778.0,20700100.0,132132678.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,77353087.0,34271158.0,43081929.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",767.0,,
