date,EL,EU_median
1995,156271.5,115520.35
1996,158431.9,120024.85
1997,164140.0,123766.95000000001
1998,169781.4,127245.5
1999,174295.5,132536.5
2000,181507.5,126663.8
2001,189948.4,133384.4
2002,198843.9,141253.2
2003,210370.6,145510.4
2004,221684.0,155387.8
2005,224307.6,164306.8
2006,238760.7,172502.1
2007,247133.7,181662.2
2008,247275.7,173516.3
2009,237089.8,164674.3
2010,223590.5,167445.7
2011,201507.0,170206.6
2012,184719.1,169527.5
2013,180522.1,167948.1
2014,181952.2,169193.2
2015,181536.8,172793.5
2016,181479.1,177253.0
2017,184152.5,184152.5
2018,187954.7,187954.7
2019,192234.8,192234.8
2020,174556.4,175876.6
2021,189663.4,189663.4
2022,200557.0,200557.0
2023,205234.2,203812.9
2024,209896.6,205688.6
