date,EL,EU_median
1995,103206.4,52881.3
1996,112262.3,59701.5
1997,122477.8,73118.8
1998,124754.4,80565.7
1999,134588.8,92790.5
2000,137827.6,108495.3
2001,147438.7,122089.2
2002,158902.3,135997.9
2003,174096.0,145576.9
2004,188905.2,152248.4
2005,194773.4,158552.7
2006,214298.9,166260.5
2007,229282.8,175483.4
2008,238735.4,179102.8
2009,234322.6,169519.7
2010,223590.5,167445.7
2011,203475.0,173380.1
2012,185899.2,168538.8
2013,178113.9,170675.6
2014,176071.8,173186.7
2015,175362.9,175362.9
2016,174448.2,179145.9
2017,177378.5,195509.1
2018,180615.7,206201.2
2019,185181.2,224767.4
2020,167539.5,220310.6
2021,184574.6,242260.4
2022,207854.2,266135.0
2023,225196.9,272874.0
2024,237573.4,285184.5
