Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,21494169.0,94765400.0,-73271231.0
1,Beverages and tobacco,Ποτά και καπνός,1002482.0,9760401.0,-8757919.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",200011283.0,27328121.0,172683162.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",279142190.0,2431158.0,276711032.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,1752895.0,3575098.0,-1822203.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,110110049.0,369169018.0,-259058969.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",16279528.0,1050370025.0,-1034090497.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,45684275.0,3322754226.0,-3277069951.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,21640181.0,1605228330.0,-1583588149.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",97807.0,3419.0,94388.0
