date,Greece,EU_Total,EU_Median
1980-Q1,,,16.4
1980-Q2,,,17.95
1980-Q3,,,17.65
1980-Q4,,,17.25
1981-Q1,,,17.56
1981-Q2,,,17.41
1981-Q3,,,17.05
1981-Q4,,,15.58
1982-Q1,,,16.49
1982-Q2,,,16.41
1982-Q3,,,16.27
1982-Q4,,,14.08
1983-Q1,,,15.86
1983-Q2,,,14.88
1983-Q3,,,15.02
1983-Q4,,,14.65
1984-Q1,,,14.19
1984-Q2,,,13.53
1984-Q3,,,14.0
1984-Q4,,,13.55
1985-Q1,,,12.56
1985-Q2,,,12.56
1985-Q3,,,13.8
1985-Q4,,,13.13
1986-Q1,,,13.09
1986-Q2,,,11.96
1986-Q3,,,11.96
1986-Q4,,,12.11
1987-Q1,,,10.96
1987-Q2,,,11.4
1987-Q3,,,11.4
1987-Q4,,,10.09
1988-Q1,,,10.67
1988-Q2,,,11.07
1988-Q3,,,10.66
1988-Q4,,,11.15
1989-Q1,,,10.68
1989-Q2,,,10.12
1989-Q3,,,11.34
1989-Q4,,,12.06
1990-Q1,,,12.22
1990-Q2,,,11.93
1990-Q3,,,13.16
1990-Q4,,,11.76
1991-Q1,,,12.49
1991-Q2,,,13.01
1991-Q3,,,13.02
1991-Q4,,,12.74
1992-Q1,,,13.41
1992-Q2,,,14.36
1992-Q3,,,14.17
1992-Q4,,,13.71
1993-Q1,,,14.77
1993-Q2,,,14.75
1993-Q3,,,14.28
1993-Q4,,,13.54
1994-Q1,,,13.93
1994-Q2,,,12.87
1994-Q3,,,13.19
1994-Q4,,,13.57
1995-Q1,,,11.16
1995-Q2,,,10.625
1995-Q3,,,9.99
1995-Q4,,,11.065
1996-Q1,,,8.72
1996-Q2,,,11.315000000000001
1996-Q3,,,8.305
1996-Q4,,,7.87
1997-Q1,,,7.135
1997-Q2,,,7.505
1997-Q3,,,8.235
1997-Q4,,,7.445
1998-Q1,,,7.46
1998-Q2,,,6.795
1998-Q3,,,7.31
1998-Q4,,,7.5200000000000005
1999-Q1,11.76,13.65,11.76
1999-Q2,9.79,13.3,11.46
1999-Q3,8.07,13.22,11.04
1999-Q4,10.46,12.41,11.69
2000-Q1,10.59,12.48,11.78
2000-Q2,8.36,12.63,11.04
2000-Q3,6.93,12.57,11.1
2000-Q4,11.35,13.09,11.35
2001-Q1,11.1,12.96,12.02
2001-Q2,7.43,12.89,11.7
2001-Q3,3.49,13.66,12.66
2001-Q4,7.53,13.59,11.28
2002-Q1,5.15,13.02,10.78
2002-Q2,11.55,13.46,11.64
2002-Q3,9.55,13.14,11.44
2002-Q4,8.51,13.23,10.67
2003-Q1,10.04,13.38,10.49
2003-Q2,7.83,13.33,10.8
2003-Q3,12.73,13.36,11.57
2003-Q4,11.61,13.19,11.52
2004-Q1,10.86,13.1,10.81
2004-Q2,12.0,13.07,11.33
2004-Q3,12.03,13.29,9.96
2004-Q4,7.93,12.52,10.65
2005-Q1,6.24,12.67,11.65
2005-Q2,6.81,12.24,10.25
2005-Q3,7.64,12.21,11.29
2005-Q4,6.42,12.15,10.1
2006-Q1,9.2,12.0,9.4
2006-Q2,8.54,11.93,10.59
2006-Q3,10.67,12.32,8.33
2006-Q4,13.08,12.42,9.15
2007-Q1,7.67,11.91,9.71
2007-Q2,11.43,11.75,9.79
2007-Q3,11.74,11.78,8.33
2007-Q4,4.78,11.78,8.43
2008-Q1,7.24,11.83,8.47
2008-Q2,9.78,12.11,10.61
2008-Q3,11.72,12.15,11.67
2008-Q4,7.82,13.33,11.98
2009-Q1,13.24,13.39,12.67
2009-Q2,11.6,13.98,12.39
2009-Q3,8.13,13.67,13.71
2009-Q4,11.5,13.55,13.32
2010-Q1,7.32,13.0,12.13
2010-Q2,4.48,12.82,11.73
2010-Q3,2.18,12.66,12.32
2010-Q4,5.68,12.05,12.13
2011-Q1,2.01,12.04,12.03
