date,EL,EU_median
2000Q1,142050.1,43622.4
2000Q2,147269.2,43294.3
2000Q3,148722.9,41332.7
2000Q4,148217.0,39494.0
2001Q1,154271.0,38643.5
2001Q2,155307.0,38060.4
2001Q3,155163.0,39285.1
2001Q4,162971.0,40969.2
2002Q1,161507.0,40934.8
2002Q2,162757.0,41857.6
2002Q3,164471.0,42853.7
2002Q4,171410.0,41987.4
2003Q1,170278.0,42188.5
2003Q2,174153.0,44143.7
2003Q3,174592.0,44319.0
2003Q4,181510.0,43409.3
2004Q1,187837.0,46391.5
2004Q2,198359.0,48140.8
2004Q3,199794.0,49993.2
2004Q4,199282.0,50505.1
2005Q1,200892.0,53578.3
2005Q2,209098.0,55539.8
2005Q3,212478.0,55915.1
2005Q4,213976.0,54075.6
2006Q1,214744.0,56786.4
2006Q2,219515.0,55207.8
2006Q3,221659.0,58540.6
2006Q4,225730.0,62298.8
2007Q1,231675.0,65046.2
2007Q2,233269.0,66939.7
2007Q3,234171.0,63619.0
2007Q4,239915.0,63755.0
2008Q1,244548.0,64941.0
2008Q2,249692.0,63831.5
2008Q3,256238.0,59673.0
2008Q4,264775.0,73317.3
2009Q1,281548.0,75054.0
2009Q2,291479.0,74567.5
2009Q3,296231.0,76813.3
2009Q4,301062.0,80200.0
2010Q1,311473.0,83731.0
2010Q2,315853.0,88437.0
2010Q3,328594.0,89197.0
2010Q4,330570.0,94286.0
2011Q1,342265.0,93409.0
2011Q2,342057.0,93844.0
2011Q3,348354.0,98361.0
2011Q4,356235.0,102829.0
2012Q1,281499.0,104698.0
2012Q2,301787.0,112013.0
2012Q3,301208.0,110986.0
2012Q4,305085.0,114025.7
2013Q1,306699.0,112553.1
2013Q2,317674.0,116286.5
2013Q3,318007.0,118198.6
2013Q4,320498.0,113943.4
2014Q1,319971.0,115312.4
2014Q2,322055.0,116239.8
2014Q3,319175.0,120987.4
2014Q4,319629.0,117801.4
2015Q1,303363.0,116565.2
2015Q2,301980.0,113474.1
2015Q3,303907.0,111884.0
2015Q4,311729.0,108532.4
2016Q1,309104.0,107205.3
2016Q2,315274.0,108770.9
2016Q3,311151.0,107236.6
2016Q4,315012.0,105450.1
2017Q1,310661.0,103765.7
2017Q2,309090.0,104961.0
2017Q3,313489.0,105753.3
2017Q4,317481.0,105727.0
2018Q1,322573.0,104853.3
2018Q2,323396.0,103921.1
2018Q3,335028.0,104467.2
2018Q4,334721.0,102597.3
2019Q1,337410.0,101712.6
2019Q2,335564.0,106782.9
2019Q3,334331.0,106066.1
2019Q4,331145.0,104187.6
2020Q1,329711.0,103835.9
2020Q2,333958.0,128047.1
2020Q3,337800.0,130704.9
2020Q4,341227.0,131859.7
2021Q1,344340.0,127377.1
2021Q2,354177.0,128605.2
2021Q3,357425.0,129384.2
2021Q4,353489.0,123585.2
2022Q1,357750.0,120106.2
2022Q2,359175.0,125725.1
2022Q3,357476.0,130875.9
2022Q4,356256.0,134682.0
2023Q1,355270.0,144446.3
