date,EL,EU
1991-01-01,,74.7
1991-02-01,,73.9
1991-03-01,,73.2
1991-04-01,,72.7
1991-05-01,,72.6
1991-06-01,,74.1
1991-07-01,,72.6
1991-08-01,,72.6
1991-09-01,,72.7
1991-10-01,,73.1
1991-11-01,,73.8
1991-12-01,,73.3
1992-01-01,,74.2
1992-02-01,,74.6
1992-03-01,,73.7
1992-04-01,,73.6
1992-05-01,,73.1
1992-06-01,,72.5
1992-07-01,,71.5
1992-08-01,,71.5
1992-09-01,,70.8
1992-10-01,,71.0
1992-11-01,,70.4
1992-12-01,,69.0
1993-01-01,,69.4
1993-02-01,,68.8
1993-03-01,,68.6
1993-04-01,,68.4
1993-05-01,,68.3
1993-06-01,,67.8
1993-07-01,,67.4
1993-08-01,,68.4
1993-09-01,,68.6
1993-10-01,,68.7
1993-11-01,,68.6
1993-12-01,,68.9
1994-01-01,,68.9
1994-02-01,,69.8
1994-03-01,,70.0
1994-04-01,,71.1
1994-05-01,,71.1
1994-06-01,,71.5
1994-07-01,,71.7
1994-08-01,,71.8
1994-09-01,,72.4
1994-10-01,,73.1
1994-11-01,,73.5
1994-12-01,,74.4
1995-01-01,,74.0
1995-02-01,,73.9
1995-03-01,,74.0
1995-04-01,,74.2
1995-05-01,,74.5
1995-06-01,,74.3
1995-07-01,,74.1
1995-08-01,,74.0
1995-09-01,,74.5
1995-10-01,,73.5
1995-11-01,,73.8
1995-12-01,,74.7
1996-01-01,,74.0
1996-02-01,,73.9
1996-03-01,,73.8
1996-04-01,,73.2
1996-05-01,,73.9
1996-06-01,,74.1
1996-07-01,,73.3
1996-08-01,,74.3
1996-09-01,,74.3
1996-10-01,,74.0
1996-11-01,,74.5
1996-12-01,,74.4
1997-01-01,,74.5
1997-02-01,,74.9
1997-03-01,,76.0
1997-04-01,,76.7
1997-05-01,,75.9
1997-06-01,,77.4
1997-07-01,,78.0
1997-08-01,,77.9
1997-09-01,,77.8
1997-10-01,,79.0
1997-11-01,,78.8
1997-12-01,,79.4
1998-01-01,,79.6
1998-02-01,,80.0
1998-03-01,,80.1
1998-04-01,,80.3
1998-05-01,,80.7
1998-06-01,,80.2
1998-07-01,,81.2
1998-08-01,,80.0
1998-09-01,,80.2
1998-10-01,,80.3
1998-11-01,,80.0
1998-12-01,,79.4
1999-01-01,,80.7
1999-02-01,,79.7
1999-03-01,,79.9
1999-04-01,,80.2
1999-05-01,,80.6
1999-06-01,,81.0
1999-07-01,,81.8
1999-08-01,,81.8
1999-09-01,,82.4
1999-10-01,,83.2
