date,twh_Coal_Greece,twh_Gas_Greece,twh_Hydro_Greece,twh_Net imports_Greece,twh_Other fossil_Greece,twh_Solar_Greece,twh_Wind_Greece,twh_Bioenergy_EU,twh_Coal_EU,twh_Gas_EU,twh_Hydro_EU,twh_Net imports_EU,twh_Nuclear_EU,twh_Other fossil_EU,twh_Other renewables_EU,twh_Solar_EU,twh_Wind_EU,twh_Bioenergy_World,twh_Coal_World,twh_Gas_World,twh_Hydro_World,twh_Nuclear_World,twh_Other fossil_World,twh_Other renewables_World,twh_Solar_World,twh_Wind_World,share_Coal_Greece,share_Gas_Greece,share_Hydro_Greece,share_Net imports_Greece,share_Other fossil_Greece,share_Solar_Greece,share_Wind_Greece,share_Bioenergy_EU,share_Coal_EU,share_Gas_EU,share_Hydro_EU,share_Net imports_EU,share_Nuclear_EU,share_Other fossil_EU,share_Other renewables_EU,share_Solar_EU,share_Wind_EU,share_Bioenergy_World,share_Coal_World,share_Gas_World,share_Hydro_World,share_Nuclear_World,share_Other fossil_World,share_Other renewables_World,share_Solar_World,share_Wind_World,twh_Coal_Greece_12m_avg,twh_Gas_Greece_12m_avg,twh_Hydro_Greece_12m_avg,twh_Net imports_Greece_12m_avg,twh_Other fossil_Greece_12m_avg,twh_Solar_Greece_12m_avg,twh_Wind_Greece_12m_avg,twh_Bioenergy_EU_12m_avg,twh_Coal_EU_12m_avg,twh_Gas_EU_12m_avg,twh_Hydro_EU_12m_avg,twh_Net imports_EU_12m_avg,twh_Nuclear_EU_12m_avg,twh_Other fossil_EU_12m_avg,twh_Other renewables_EU_12m_avg,twh_Solar_EU_12m_avg,twh_Wind_EU_12m_avg,twh_Bioenergy_World_12m_avg,twh_Coal_World_12m_avg,twh_Gas_World_12m_avg,twh_Hydro_World_12m_avg,twh_Nuclear_World_12m_avg,twh_Other fossil_World_12m_avg,twh_Other renewables_World_12m_avg,twh_Solar_World_12m_avg,twh_Wind_World_12m_avg,share_Coal_Greece_12m_avg,share_Gas_Greece_12m_avg,share_Hydro_Greece_12m_avg,share_Net imports_Greece_12m_avg,share_Other fossil_Greece_12m_avg,share_Solar_Greece_12m_avg,share_Wind_Greece_12m_avg,share_Bioenergy_EU_12m_avg,share_Coal_EU_12m_avg,share_Gas_EU_12m_avg,share_Hydro_EU_12m_avg,share_Net imports_EU_12m_avg,share_Nuclear_EU_12m_avg,share_Other fossil_EU_12m_avg,share_Other renewables_EU_12m_avg,share_Solar_EU_12m_avg,share_Wind_EU_12m_avg,share_Bioenergy_World_12m_avg,share_Coal_World_12m_avg,share_Gas_World_12m_avg,share_Hydro_World_12m_avg,share_Nuclear_World_12m_avg,share_Other fossil_World_12m_avg,share_Other renewables_World_12m_avg,share_Solar_World_12m_avg,share_Wind_World_12m_avg
2015-01-01,1.91,0.81,0.28,0.58,0.0,0.19,0.33,,,,,,,,,,,,,,,,,,,,54.26,22.94,8.06,16.6,0.0,5.35,9.42,,,,,,,,,,,,,,,,,,,,1.91,0.81,0.28,0.58,,0.19,0.33,,,,,,,,,,,,,,,,,,,,54.26,22.94,8.06,16.6,,5.35,9.42,,,,,,,,,,,,,,,,,,,
2015-02-01,1.31,0.54,0.75,0.54,0.0,0.2,0.33,,,,,,,,,,,,,,,,,,,,41.84,17.32,23.82,17.35,0.0,6.54,10.46,,,,,,,,,,,,,,,,,,,,1.6099999999999999,0.675,0.515,0.56,,0.195,0.33,,,,,,,,,,,,,,,,,,,,48.05,20.130000000000003,15.940000000000001,16.975,,5.945,9.940000000000001,,,,,,,,,,,,,,,,,,,
2015-03-01,1.51,0.44,0.53,0.7,0.0,0.23,0.29,,,,,,,,,,,,,,,,,,,,50.22,14.76,17.58,23.27,0.0,7.71,9.74,,,,,,,,,,,,,,,,,,,,1.5766666666666669,0.5966666666666667,0.52,0.6066666666666666,,0.20666666666666667,0.31666666666666665,,,,,,,,,,,,,,,,,,,,48.77333333333333,18.34,16.486666666666668,19.073333333333334,,6.533333333333334,9.873333333333333,,,,,,,,,,,,,,,,,,,
2015-04-01,1.16,0.37,0.4,0.59,0.0,0.37,0.27,,,,,,,,,,,,,,,,,,,,45.39,14.32,15.54,23.01,0.0,14.36,10.41,,,,,,,,,,,,,,,,,,,,1.4725,0.54,0.49,0.6025,,0.2475,0.305,,,,,,,,,,,,,,,,,,,,47.9275,17.335,16.25,20.0575,,8.49,10.0075,,,,,,,,,,,,,,,,,,,
2015-05-01,1.47,0.33,0.32,0.68,0.0,0.39,0.23,,,,,,,,,,,,,,,,,,,,53.66,12.04,11.74,24.73,0.0,14.26,8.28,,,,,,,,,,,,,,,,,,,,1.472,0.49800000000000005,0.45600000000000007,0.618,,0.27599999999999997,0.29,,,,,,,,,,,,,,,,,,,,49.074,16.276,15.347999999999999,20.992,,9.644,9.662,,,,,,,,,,,,,,,,,,,
2015-06-01,1.71,0.27,0.3,0.64,0.0,0.37,0.24,,,,,,,,,,,,,,,,,,,,59.22,9.27,10.41,22.21,0.0,12.7,8.41,,,,,,,,,,,,,,,,,,,,1.5116666666666667,0.46,0.43,0.6216666666666667,,0.2916666666666667,0.2816666666666667,,,,,,,,,,,,,,,,,,,,50.76499999999999,15.108333333333334,14.525,21.195,,10.153333333333334,9.453333333333333,,,,,,,,,,,,,,,,,,,
2015-07-01,2.29,0.97,0.41,0.48,0.0,0.43,0.32,,,,,,,,,,,,,,,,,,,,51.77,21.98,9.32,10.85,0.0,9.74,7.19,,,,,,,,,,,,,,,,,,,,1.6228571428571428,0.5328571428571428,0.42714285714285716,0.6014285714285714,,0.31142857142857144,0.2871428571428571,,,,,,,,,,,,,,,,,,,,50.90857142857143,16.09,13.781428571428572,19.717142857142857,,10.094285714285714,9.13,,,,,,,,,,,,,,,,,,,
2015-08-01,2.01,0.75,0.41,0.46,0.0,0.4,0.36,,,,,,,,,,,,,,,,,,,,51.24,19.16,10.48,11.68,0.0,10.05,9.06,,,,,,,,,,,,,,,,,,,,1.67125,0.56,0.425,0.58375,,0.3225,0.29625,,,,,,,,,,,,,,,,,,,,50.95,16.47375,13.36875,18.712500000000002,,10.08875,9.12125,,,,,,,,,,,,,,,,,,,
2015-09-01,1.69,0.71,0.32,0.22,0.0,0.32,0.23,,,,,,,,,,,,,,,,,,,,51.71,21.79,9.76,6.82,0.03,9.79,6.95,,,,,,,,,,,,,,,,,,,,1.6733333333333331,0.5766666666666667,0.41333333333333333,0.5433333333333333,,0.3222222222222222,0.2888888888888889,,,,,,,,,,,,,,,,,,,,51.034444444444446,17.064444444444447,12.967777777777778,17.391111111111112,0.003333333333333333,10.055555555555555,8.88,,,,,,,,,,,,,,,,,,,
2015-10-01,1.19,1.08,0.26,0.22,0.0,0.24,0.34,,,,,,,,,,,,,,,,,,,,38.25,34.77,8.28,7.22,0.03,7.64,11.02,,,,,,,,,,,,,,,,,,,,1.625,0.627,0.398,0.511,,0.314,0.294,,,,,,,,,,,,,,,,,,,,49.756,18.835,12.498999999999999,16.374000000000002,0.006,9.814,9.094,,,,,,,,,,,,,,,,,,,
