date,pop_TOTAL,pop_Y10-14,pop_Y15-19,pop_Y20-24,pop_Y25-29,pop_Y30-34,pop_Y35-39,pop_Y40-44,pop_Y45-49,pop_Y5-9,pop_Y50-54,pop_Y55-59,pop_Y60-64,pop_Y65-69,pop_Y70-74,pop_Y75-79,pop_Y80-84,pop_Y_GE85,pop_Y_LT5
1960,8300399.0,677784.0,575243.0,731736.0,638183.0,611644.0,587017.0,581042.0,489859.0,647553.0,466265.0,452904.0,332790.0,304043.0,209678.0,137886.0,,,732248.0
1961,8363050.0,751566.0,670397.0,794857.0,786951.0,719680.0,512074.0,420499.0,490973.0,754705.0,439327.0,350832.0,287935.0,189813.0,175846.0,138625.0,62702.0,47749.0,768519.0
1962,8433050.0,700678.0,631310.0,612239.0,661325.0,696216.0,581943.0,484770.0,529300.0,687009.0,487180.0,477106.0,369361.0,294976.0,214696.0,135884.0,89080.0,48326.0,731651.0
1963,8463416.0,720512.0,756648.0,714881.0,769813.0,705518.0,587992.0,429438.0,454896.0,759831.0,468616.0,366488.0,312132.0,211099.0,186426.0,133047.0,74840.0,46582.0,764657.0
1964,8495834.0,679192.0,694406.0,528492.0,640716.0,674172.0,649859.0,504859.0,481634.0,695472.0,512262.0,492305.0,391896.0,324578.0,215679.0,142125.0,95190.0,46046.0,726951.0
1965,8525024.0,727769.0,773674.0,656061.0,737776.0,700468.0,639453.0,466207.0,416764.0,765438.0,470247.0,380802.0,339231.0,240376.0,179571.0,146803.0,80526.0,42082.0,761776.0
1966,8575642.0,696954.0,679798.0,516823.0,606798.0,667782.0,691154.0,535908.0,458451.0,701368.0,522739.0,503490.0,421150.0,342069.0,221505.0,150165.0,102328.0,41578.0,715582.0
1967,8651660.0,734332.0,755113.0,712510.0,691571.0,681444.0,656789.0,517801.0,422298.0,768519.0,471552.0,389284.0,360042.0,255749.0,194121.0,154298.0,81889.0,46588.0,757760.0
1968,8716516.0,699318.0,651153.0,619966.0,549318.0,662071.0,681664.0,611777.0,465315.0,695804.0,484147.0,530338.0,434011.0,362789.0,238796.0,159025.0,93708.0,48539.0,728777.0
1969,8765014.0,739699.0,732384.0,786886.0,634760.0,680330.0,645014.0,585079.0,440850.0,763133.0,424183.0,410692.0,371531.0,273765.0,217895.0,153174.0,84229.0,47126.0,774284.0
