date,EL_Y25-74,EL_Y_LT25,EU_Y25-74,EU_Y_LT25
1998-04-01,8.1,29.9,,
1998-05-01,8.1,29.8,,
1998-06-01,8.0,30.0,,
1998-07-01,8.0,30.4,,
1998-08-01,8.2,30.7,,
1998-09-01,8.1,30.9,,
1998-10-01,8.2,30.1,,
1998-11-01,8.4,31.0,,
1998-12-01,8.5,30.6,,
1999-01-01,8.6,30.5,,
1999-02-01,8.7,30.6,,
1999-03-01,8.7,30.6,,
1999-04-01,9.1,31.8,,
1999-05-01,9.1,31.7,,
1999-06-01,9.1,31.7,,
1999-07-01,9.2,31.5,,
1999-08-01,9.3,31.4,,
1999-09-01,9.3,31.3,,
1999-10-01,9.4,32.1,,
1999-11-01,9.5,32.1,,
1999-12-01,9.5,31.7,,
2000-01-01,8.9,29.9,8.4,19.0
2000-02-01,9.0,29.8,8.4,18.9
2000-03-01,9.0,29.8,8.4,18.7
2000-04-01,9.0,29.7,8.3,18.7
2000-05-01,8.9,29.5,8.3,18.6
2000-06-01,8.9,29.4,8.2,18.6
2000-07-01,8.8,29.3,8.2,18.5
2000-08-01,8.8,29.2,8.2,18.5
2000-09-01,8.7,29.1,8.1,18.4
2000-10-01,8.2,27.9,8.1,18.3
2000-11-01,8.3,27.9,8.1,18.3
2000-12-01,8.3,27.8,8.0,18.2
2001-01-01,8.3,28.2,8.0,18.1
2001-02-01,8.3,28.0,8.0,18.3
2001-03-01,8.3,27.8,8.0,18.3
2001-04-01,8.4,28.4,8.0,18.3
2001-05-01,8.4,28.2,8.0,18.4
2001-06-01,8.4,28.1,8.0,18.5
2001-07-01,8.5,27.8,8.0,18.5
2001-08-01,8.4,27.7,8.0,18.7
2001-09-01,8.4,27.6,8.0,18.8
2001-10-01,8.7,28.3,8.0,18.9
2001-11-01,8.7,28.1,8.1,19.0
2001-12-01,8.7,28.0,8.1,19.0
2002-01-01,8.6,27.9,8.1,19.0
2002-02-01,8.6,27.8,8.2,19.0
2002-03-01,8.6,27.7,8.2,19.0
2002-04-01,8.3,26.9,8.3,19.0
2002-05-01,8.3,26.8,8.3,19.0
2002-06-01,8.3,26.7,8.3,19.1
2002-07-01,8.3,26.6,8.4,19.3
2002-08-01,8.3,26.6,8.4,19.5
2002-09-01,8.3,26.5,8.4,19.5
2002-10-01,8.2,26.1,8.4,19.5
2002-11-01,8.1,26.1,8.4,19.6
2002-12-01,8.1,26.1,8.5,19.5
2003-01-01,7.9,26.1,8.4,19.9
2003-02-01,7.9,26.0,8.4,19.8
2003-03-01,7.9,25.9,8.4,19.9
2003-04-01,7.9,26.6,8.4,20.0
2003-05-01,7.9,26.5,8.4,20.1
2003-06-01,7.9,26.5,8.5,20.3
2003-07-01,7.8,27.7,8.5,20.2
2003-08-01,7.8,27.5,8.5,20.3
2003-09-01,7.8,27.4,8.5,20.2
2003-10-01,8.0,27.5,8.5,20.2
2003-11-01,8.0,27.4,8.5,20.4
2003-12-01,8.1,27.3,8.6,20.6
2004-01-01,9.3,28.6,8.7,20.9
2004-02-01,8.6,26.7,8.6,20.8
2004-03-01,8.7,28.0,8.6,21.0
2004-04-01,8.7,27.1,8.6,21.2
2004-05-01,8.7,26.1,8.5,20.9
2004-06-01,8.7,26.5,8.5,21.0
2004-07-01,9.0,26.2,8.5,20.8
2004-08-01,8.8,25.1,8.5,20.7
2004-09-01,8.8,25.9,8.5,20.7
2004-10-01,8.6,26.3,8.5,20.7
2004-11-01,8.7,25.3,8.5,20.7
2004-12-01,8.7,25.6,8.4,20.7
2005-01-01,8.4,26.0,8.4,20.6
2005-02-01,8.3,24.5,8.4,20.7
2005-03-01,8.7,24.9,8.4,20.8
2005-04-01,8.6,24.7,8.4,20.9
2005-05-01,8.4,25.4,8.4,20.7
2005-06-01,8.5,26.6,8.4,20.7
2005-07-01,8.7,25.8,8.3,20.5
2005-08-01,8.4,26.5,8.2,20.2
2005-09-01,8.7,27.0,8.2,20.2
2005-10-01,8.4,26.2,8.2,20.1
2005-11-01,7.9,26.7,8.1,19.8
2005-12-01,8.1,25.3,8.0,19.8
2006-01-01,7.9,24.6,8.0,19.7
2006-02-01,8.0,25.0,7.8,19.6
2006-03-01,7.6,24.5,7.8,19.3
2006-04-01,7.6,25.1,7.6,19.2
2006-05-01,7.7,24.6,7.6,19.0
2006-06-01,7.6,25.5,7.5,18.6
2006-07-01,7.3,23.8,7.4,18.4
2006-08-01,7.2,25.0,7.4,18.4
2006-09-01,7.5,25.1,7.3,18.3
2006-10-01,7.0,23.5,7.2,18.1
2006-11-01,7.3,26.7,7.1,18.0
2006-12-01,7.6,26.8,7.0,17.5
2007-01-01,7.2,23.5,6.8,17.3
2007-02-01,7.3,24.9,6.7,17.0
2007-03-01,7.7,25.0,6.6,16.9
2007-04-01,7.4,21.1,6.5,16.5
2007-05-01,7.0,23.9,6.5,16.5
2007-06-01,7.4,22.0,6.4,16.4
2007-07-01,7.2,20.9,6.4,16.3
2007-08-01,6.8,23.3,6.4,16.3
2007-09-01,7.4,22.4,6.3,16.1
2007-10-01,7.1,21.1,6.3,15.9
2007-11-01,6.5,22.0,6.2,15.7
2007-12-01,7.2,22.3,6.2,15.8
2008-01-01,6.6,20.3,6.1,15.7
2008-02-01,6.6,22.5,6.1,15.6
2008-03-01,7.0,24.3,6.0,15.7
2008-04-01,6.6,20.7,6.1,15.8
2008-05-01,6.2,21.4,6.1,16.0
2008-06-01,6.7,21.2,6.1,16.4
2008-07-01,6.4,21.3,6.1,16.3
2008-08-01,6.4,22.0,6.1,16.4
2008-09-01,6.8,22.1,6.2,16.7
2008-10-01,6.5,20.6,6.3,17.0
2008-11-01,6.5,23.8,6.5,17.6
2008-12-01,7.4,23.2,6.7,17.9
2009-01-01,7.7,24.3,7.0,18.7
2009-02-01,7.7,25.8,7.3,19.3
2009-03-01,7.8,23.3,7.6,19.9
2009-04-01,8.2,25.2,7.7,20.3
2009-05-01,7.8,26.1,7.8,20.7
2009-06-01,8.1,23.9,7.9,20.8
2009-07-01,8.9,24.5,8.0,21.4
2009-08-01,8.5,26.3,8.1,21.6
2009-09-01,8.3,25.7,8.2,21.7
2009-10-01,9.0,26.8,8.3,21.9
2009-11-01,9.4,29.2,8.4,21.8
2009-12-01,8.7,27.8,8.4,21.7
2010-01-01,9.8,28.7,8.6,22.1
2010-02-01,10.2,31.3,8.7,22.2
2010-03-01,9.9,29.2,8.7,22.0
2010-04-01,10.6,31.7,8.7,22.3
2010-05-01,10.9,32.7,8.7,22.2
2010-06-01,10.9,30.7,8.6,22.0
2010-07-01,11.2,34.2,8.6,21.9
2010-08-01,11.5,32.0,8.6,21.9
2010-09-01,11.7,34.0,8.6,22.0
2010-10-01,12.3,36.5,8.6,21.9
2010-11-01,12.6,35.7,8.6,21.8
2010-12-01,12.9,38.0,8.6,22.0
2011-01-01,13.3,38.1,8.6,21.9
2011-02-01,13.9,38.3,8.5,22.0
2011-03-01,14.2,41.6,8.5,22.0
2011-04-01,14.1,44.8,8.4,21.8
2011-05-01,15.6,41.2,8.5,21.7
2011-06-01,15.0,44.5,8.5,21.9
2011-07-01,15.6,46.3,8.6,22.1
2011-08-01,17.2,45.1,8.7,22.1
2011-09-01,16.5,47.5,8.8,22.4
2011-10-01,18.1,49.8,8.9,22.6
2011-11-01,18.8,48.8,9.0,22.7
2011-12-01,19.0,50.3,9.1,23.0
2012-01-01,19.2,52.1,9.1,23.1
2012-02-01,20.2,51.7,9.2,23.3
2012-03-01,20.6,52.6,9.3,23.8
2012-04-01,21.3,52.8,9.4,23.6
2012-05-01,21.8,53.6,9.5,24.0
2012-06-01,22.7,56.8,9.6,23.8
2012-07-01,22.8,56.4,9.7,24.0
2012-08-01,23.2,57.6,9.6,24.3
2012-09-01,23.8,58.0,9.7,24.4
2012-10-01,23.6,54.8,9.8,24.5
2012-11-01,24.3,60.3,9.9,24.8
2012-12-01,23.9,57.9,9.9,24.8
2013-01-01,24.5,58.0,10.1,25.1
2013-02-01,24.6,61.8,10.1,25.1
2013-03-01,24.8,58.0,10.2,24.9
2013-04-01,25.5,57.9,10.2,24.8
2013-05-01,25.4,62.5,10.2,24.7
2013-06-01,25.4,58.0,10.1,24.7
2013-07-01,25.8,59.2,10.1,24.7
2013-08-01,25.4,60.2,10.1,24.7
2013-09-01,25.8,55.2,10.1,24.8
2013-10-01,25.6,54.5,10.0,24.7
2013-11-01,25.7,58.1,10.0,24.7
2013-12-01,25.5,56.9,9.9,24.7
2014-01-01,25.1,55.6,9.9,24.8
2014-02-01,25.6,56.3,9.9,24.4
2014-03-01,24.9,56.1,9.8,24.4
2014-04-01,25.4,54.0,9.7,24.0
2014-05-01,25.4,53.6,9.7,23.8
2014-06-01,24.8,49.5,9.6,23.7
2014-07-01,24.5,50.6,9.5,23.6
2014-08-01,24.7,50.6,9.5,23.3
2014-09-01,24.3,49.9,9.5,23.3
2014-10-01,24.2,51.9,9.5,23.2
2014-11-01,24.1,50.9,9.5,23.3
2014-12-01,24.4,50.5,9.4,22.8
2015-01-01,24.1,49.9,9.3,22.7
