date,EL,EU,EL_index_2015,EU_index_2015
1997-01-01,6.3,,50.02,
1997-02-01,6.2,,50.08,
1997-03-01,4.8,,49.87,
1997-04-01,4.3,,50.09,
1997-05-01,-1.1,,50.24,
1997-06-01,-0.7,,50.43,
1997-07-01,-1.0,,50.51,
1997-08-01,-0.5,,50.91,
1997-09-01,-1.9,,51.01,
1997-10-01,-0.2,,51.26,
1997-11-01,5.1,,51.28,
1997-12-01,3.3,,51.25,
1998-01-01,2.3,,51.19,
1998-02-01,2.5,,51.35,
1998-03-01,3.5,,51.61,
1998-04-01,4.0,,52.1,
1998-05-01,4.1,,52.32,
1998-06-01,4.0,,52.43,
1998-07-01,4.3,,52.66,
1998-08-01,3.8,,52.86,
1998-09-01,3.8,,52.97,
1998-10-01,2.1,,52.32,
1998-11-01,0.8,,51.66,
1998-12-01,0.9,,51.69,
1999-01-01,0.2,,51.28,
1999-02-01,-0.3,,51.2,
1999-03-01,0.3,,51.78,
1999-04-01,0.6,,52.41,
1999-05-01,0.4,,52.53,
1999-06-01,0.4,,52.61,
1999-07-01,0.2,,52.78,
1999-08-01,-0.1,,52.82,
1999-09-01,-0.1,,52.9,
1999-10-01,1.3,,52.98,
1999-11-01,3.7,,53.6,
1999-12-01,3.8,,53.63,60.51
2000-01-01,5.6,,54.13,61.03
2000-02-01,6.9,,54.7,61.37
2000-03-01,6.5,,55.15,61.67
2000-04-01,4.5,,54.78,61.94
2000-05-01,4.5,,54.88,62.26
2000-06-01,4.5,,54.99,62.44
2000-07-01,4.6,,55.19,62.86
2000-08-01,4.6,,55.27,63.15
2000-09-01,5.1,,55.6,64.02
2000-10-01,9.4,,57.94,64.18
2000-11-01,11.1,,59.56,64.54
2000-12-01,9.2,6.5,58.57,64.45
2001-01-01,4.4,6.1,56.51,64.77
2001-02-01,4.5,6.0,57.18,65.03
2001-03-01,3.4,5.7,57.06,65.16
2001-04-01,4.3,5.5,57.12,65.33
2001-05-01,4.2,5.2,57.19,65.48
2001-06-01,4.2,5.1,57.27,65.65
2001-07-01,4.7,4.8,57.77,65.88
2001-08-01,4.7,4.6,57.87,66.09
2001-09-01,4.3,3.7,57.99,66.36
2001-10-01,0.2,3.4,58.05,66.34
2001-11-01,-3.0,3.0,57.74,66.5
2001-12-01,-2.1,3.0,57.33,66.42
2002-01-01,2.5,3.3,57.94,66.91
2002-02-01,1.8,3.1,58.19,67.05
2002-03-01,3.0,3.1,58.74,67.17
2002-04-01,4.1,3.1,59.44,67.37
2002-05-01,4.1,2.9,59.56,67.38
2002-06-01,4.1,2.6,59.64,67.34
2002-07-01,3.5,2.7,59.8,67.64
2002-08-01,3.9,2.5,60.13,67.75
2002-09-01,4.0,2.4,60.29,67.94
2002-10-01,4.0,2.7,60.39,68.13
2002-11-01,3.9,2.5,59.98,68.13
2002-12-01,6.3,2.8,60.95,68.29
2003-01-01,6.5,3.2,61.7,69.08
2003-02-01,7.9,3.6,62.8,69.45
2003-03-01,8.1,3.9,63.52,69.77
2003-04-01,3.3,3.2,61.41,69.51
2003-05-01,3.3,3.0,61.56,69.41
2003-06-01,3.5,3.1,61.7,69.46
2003-07-01,3.3,3.1,61.78,69.75
2003-08-01,2.9,3.1,61.87,69.86
2003-09-01,3.3,3.1,62.27,70.07
2003-10-01,4.1,3.1,62.85,70.24
2003-11-01,5.2,3.2,63.08,70.28
2003-12-01,2.8,2.9,62.63,70.31
2004-01-01,2.5,2.6,63.24,70.9
2004-02-01,0.5,2.2,63.1,70.98
2004-03-01,0.9,2.1,64.08,71.2
2004-04-01,5.2,2.7,64.6,71.35
2004-05-01,5.2,3.2,64.76,71.63
2004-06-01,5.3,3.2,64.98,71.68
2004-07-01,5.4,3.2,65.1,72.01
2004-08-01,5.4,3.5,65.19,72.29
2004-09-01,4.9,3.4,65.32,72.46
2004-10-01,7.1,4.1,67.32,73.1
2004-11-01,8.5,4.0,68.42,73.12
2004-12-01,7.7,4.0,67.44,73.11
2005-01-01,6.9,4.0,67.63,73.76
2005-02-01,8.4,4.3,68.41,74.01
2005-03-01,9.7,4.6,70.32,74.45
2005-04-01,9.8,4.9,70.93,74.87
2005-05-01,9.7,4.5,71.08,74.86
2005-06-01,9.6,4.9,71.25,75.19
2005-07-01,9.6,5.2,71.33,75.74
2005-08-01,9.5,5.1,71.4,76.0
2005-09-01,9.8,5.5,71.71,76.45
2005-10-01,9.1,5.2,73.45,76.91
2005-11-01,8.1,5.2,73.96,76.94
2005-12-01,10.0,5.3,74.18,77.0
2006-01-01,10.5,5.7,74.73,77.98
2006-02-01,9.6,5.7,74.99,78.24
2006-03-01,7.8,5.4,75.81,78.47
2006-04-01,8.1,5.5,76.64,79.02
2006-05-01,8.2,5.8,76.91,79.2
2006-06-01,8.2,5.4,77.05,79.26
2006-07-01,8.2,5.1,77.18,79.62
2006-08-01,8.3,5.0,77.3,79.8
2006-09-01,8.5,4.5,77.83,79.86
2006-10-01,4.9,4.0,77.04,79.98
2006-11-01,2.4,4.1,75.73,80.07
2006-12-01,2.5,4.1,76.03,80.18
2007-01-01,0.5,3.6,75.11,80.77
2007-02-01,0.8,3.6,75.62,81.06
2007-03-01,1.0,3.5,76.56,81.19
2007-04-01,1.3,3.0,77.63,81.39
2007-05-01,1.2,2.8,77.84,81.45
2007-06-01,1.2,2.9,78.02,81.59
2007-07-01,1.2,2.7,78.13,81.79
2007-08-01,1.5,2.6,78.49,81.9
2007-09-01,1.1,2.9,78.67,82.14
2007-10-01,4.0,3.2,80.14,82.52
2007-11-01,9.9,3.8,83.25,83.12
2007-12-01,10.0,3.8,83.63,83.25
2008-01-01,11.6,4.3,83.78,84.28
2008-02-01,12.0,4.6,84.7,84.77
2008-03-01,12.7,4.9,86.26,85.2
2008-04-01,12.0,5.3,86.95,85.7
2008-05-01,12.0,6.0,87.2,86.37
2008-06-01,11.9,6.4,87.31,86.84
2008-07-01,12.9,7.1,88.2,87.63
2008-08-01,12.5,6.8,88.33,87.5
2008-09-01,12.5,6.8,88.52,87.74
2008-10-01,8.8,6.7,87.19,88.06
2008-11-01,2.0,5.7,84.94,87.84
2008-12-01,-2.0,4.9,81.98,87.35
2009-01-01,-2.4,4.5,81.74,88.04
2009-02-01,-4.2,4.0,81.17,88.18
2009-03-01,-6.4,3.3,80.75,87.98
2009-04-01,-5.7,2.2,81.96,87.58
2009-05-01,-5.8,1.3,82.17,87.49
2009-06-01,-5.8,0.9,82.27,87.63
2009-07-01,-6.6,-0.4,82.35,87.25
