year,week,deaths
2015,1,2645.0
2015,2,3013.0
2015,3,3053.0
2015,4,3065.0
2015,5,2778.0
2015,6,2665.0
2015,7,2551.0
2015,8,2690.0
2015,9,2790.0
2015,10,2629.0
2015,11,2547.0
2015,12,2457.0
2015,13,2376.0
2015,14,2390.0
2015,15,2408.0
2015,16,2426.0
2015,17,2240.0
2015,18,2287.0
2015,19,2327.0
2015,20,2015.0
2015,21,2075.0
2015,22,1941.0
2015,23,2090.0
2015,24,2107.0
2015,25,2235.0
2015,26,1922.0
2015,27,1917.0
2015,28,2271.0
2015,29,2197.0
2015,30,2443.0
2015,31,2479.0
2015,32,2372.0
2015,33,2242.0
2015,34,2081.0
2015,35,2055.0
2015,36,2276.0
2015,37,2040.0
2015,38,1982.0
2015,39,1919.0
2015,40,1849.0
2015,41,2101.0
2015,42,2056.0
2015,43,2072.0
2015,44,2202.0
2015,45,2337.0
2015,46,2363.0
2015,47,2253.0
2015,48,2222.0
2015,49,2131.0
2015,50,2306.0
2015,51,2387.0
2015,52,2480.0
2015,53,2569.0
2016,1,2637.0
2016,2,2638.0
2016,3,2601.0
2016,4,2652.0
2016,5,2649.0
2016,6,2594.0
2016,7,2436.0
2016,8,2215.0
2016,9,2139.0
2016,10,2248.0
2016,11,2255.0
2016,12,2185.0
2016,13,2259.0
2016,14,2275.0
2016,15,2227.0
2016,16,2100.0
2016,17,2081.0
2016,18,2246.0
2016,19,2209.0
2016,20,2121.0
2016,21,2027.0
2016,22,2199.0
2016,23,1999.0
2016,24,2175.0
2016,25,2914.0
2016,26,2318.0
2016,27,2155.0
2016,28,2186.0
2016,29,1993.0
2016,30,2285.0
2016,31,2324.0
2016,32,2212.0
2016,33,2122.0
2016,34,2049.0
2016,35,2013.0
2016,36,2041.0
2016,37,1971.0
2016,38,1882.0
2016,39,1972.0
2016,40,2081.0
2016,41,2047.0
2016,42,2142.0
2016,43,2177.0
2016,44,2148.0
2016,45,2349.0
2016,46,2244.0
2016,47,2431.0
2016,48,2413.0
2016,49,2475.0
2016,50,2414.0
2016,51,2716.0
2016,52,2875.0
2017,1,3425.0
2017,2,3680.0
2017,3,3364.0
2017,4,3082.0
2017,5,3002.0
2017,6,2790.0
2017,7,2675.0
2017,8,2523.0
2017,9,2399.0
2017,10,2405.0
2017,11,2444.0
2017,12,2458.0
2017,13,2253.0
2017,14,2363.0
2017,15,2363.0
2017,16,2367.0
2017,17,2325.0
2017,18,2265.0
2017,19,2159.0
2017,20,2030.0
2017,21,2013.0
2017,22,2212.0
2017,23,2121.0
2017,24,2136.0
2017,25,2170.0
2017,26,2732.0
2017,27,2542.0
2017,28,2418.0
2017,29,2090.0
2017,30,2143.0
2017,31,2307.0
2017,32,2726.0
2017,33,2288.0
2017,34,2052.0
2017,35,2076.0
2017,36,1976.0
2017,37,2100.0
2017,38,1980.0
2017,39,1926.0
2017,40,2076.0
2017,41,2185.0
2017,42,2230.0
2017,43,2157.0
2017,44,2214.0
2017,45,2310.0
2017,46,2266.0
2017,47,2319.0
2017,48,2336.0
2017,49,2278.0
2017,50,2455.0
2017,51,2367.0
2017,52,2496.0
2018,1,2533.0
2018,2,2453.0
2018,3,2345.0
2018,4,2548.0
2018,5,2605.0
2018,6,2557.0
2018,7,2469.0
2018,8,2493.0
2018,9,2610.0
2018,10,2532.0
2018,11,2415.0
2018,12,2330.0
2018,13,2365.0
2018,14,2341.0
2018,15,2349.0
2018,16,2319.0
2018,17,2175.0
2018,18,2226.0
2018,19,1980.0
2018,20,2112.0
2018,21,2021.0
2018,22,2223.0
2018,23,2302.0
2018,24,2188.0
2018,25,2080.0
2018,26,2045.0
2018,27,2361.0
2018,28,2160.0
2018,29,2356.0
2018,30,2195.0
2018,31,2231.0
2018,32,2288.0
2018,33,2285.0
2018,34,2260.0
2018,35,2178.0
2018,36,2196.0
2018,37,2063.0
2018,38,2100.0
2018,39,2022.0
2018,40,2176.0
2018,41,2244.0
2018,42,2164.0
2018,43,2261.0
2018,44,2301.0
2018,45,2232.0
2018,46,2392.0
2018,47,2438.0
2018,48,2312.0
2018,49,2451.0
2018,50,2503.0
2018,51,2535.0
2018,52,2632.0
2019,1,2706.0
2019,2,3105.0
2019,3,3039.0
2019,4,2860.0
2019,5,2893.0
2019,6,2772.0
2019,7,2563.0
2019,8,2660.0
2019,9,2769.0
2019,10,2519.0
2019,11,2470.0
2019,12,2391.0
2019,13,2332.0
2019,14,2413.0
2019,15,2312.0
2019,16,2220.0
2019,17,2403.0
2019,18,2360.0
2019,19,2323.0
2019,20,2268.0
2019,21,2210.0
2019,22,2281.0
2019,23,2285.0
2019,24,2546.0
2019,25,2376.0
2019,26,2419.0
2019,27,2377.0
2019,28,2258.0
2019,29,2097.0
2019,30,2337.0
2019,31,2386.0
2019,32,2391.0
2019,33,2361.0
2019,34,2264.0
2019,35,2356.0
2019,36,2122.0
2019,37,2084.0
2019,38,2110.0
2019,39,2087.0
2019,40,2158.0
2019,41,2070.0
2019,42,2123.0
2019,43,2170.0
2019,44,2283.0
2019,45,2303.0
2019,46,2216.0
2019,47,2216.0
2019,48,2395.0
2019,49,2512.0
2019,50,2463.0
2019,51,2445.0
2019,52,2459.0
2020,1,2749.0
2020,2,2910.0
2020,3,2863.0
2020,4,2772.0
2020,5,2990.0
2020,6,2849.0
2020,7,2782.0
2020,8,2470.0
2020,9,2543.0
2020,10,2644.0
2020,11,2596.0
2020,12,2550.0
2020,13,2439.0
2020,14,2454.0
2020,15,2362.0
2020,16,2268.0
2020,17,2205.0
2020,18,2307.0
2020,19,2127.0
2020,20,2472.0
2020,21,2329.0
2020,22,1963.0
2020,23,2101.0
2020,24,2211.0
2020,25,2352.0
2020,26,2180.0
2020,27,2670.0
2020,28,2304.0
2020,29,2136.0
2020,30,2237.0
2020,31,2714.0
2020,32,2529.0
2020,33,2368.0
2020,34,2361.0
2020,35,2298.0
2020,36,2316.0
2020,37,2274.0
2020,38,2275.0
2020,39,2156.0
2020,40,2224.0
2020,41,2213.0
2020,42,2144.0
2020,43,2224.0
2020,44,2413.0
2020,45,2549.0
2020,46,2785.0
2020,47,3149.0
2020,48,3298.0
2020,49,3338.0
2020,50,3115.0
2020,51,2938.0
2020,52,2767.0
2020,53,2686.0
2021,1,2650.0
2021,2,2497.0
2021,3,2651.0
2021,4,2625.0
2021,5,2493.0
2021,6,2463.0
2021,7,2535.0
2021,8,2668.0
2021,9,2724.0
2021,10,2657.0
2021,11,2788.0
2021,12,2759.0
2021,13,2930.0
2021,14,2898.0
2021,15,2971.0
2021,16,2663.0
2021,17,2805.0
2021,18,2937.0
2021,19,2439.0
2021,20,2501.0
2021,21,2584.0
2021,22,2318.0
2021,23,2393.0
2021,24,2314.0
2021,25,2960.0
2021,26,3154.0
2021,27,2703.0
2021,28,2702.0
2021,29,2451.0
2021,30,2827.0
2021,31,3895.0
2021,32,2954.0
2021,33,2673.0
2021,34,2781.0
2021,35,2567.0
2021,36,2522.0
2021,37,2721.0
2021,38,2440.0
2021,39,2442.0
2021,40,2456.0
2021,41,2489.0
2021,42,2514.0
2021,43,2722.0
2021,44,2995.0
2021,45,2853.0
2021,46,2990.0
2021,47,3174.0
2021,48,3177.0
2021,49,3344.0
2021,50,3293.0
2021,51,3296.0
2021,52,3310.0
2022,1,3278.0
2022,2,3378.0
2022,3,3269.0
2022,4,3677.0
2022,5,3558.0
2022,6,3241.0
2022,7,3065.0
2022,8,2797.0
2022,9,2847.0
2022,10,2846.0
2022,11,3046.0
2022,12,3042.0
2022,13,3037.0
2022,14,2872.0
2022,15,2806.0
2022,16,2624.0
2022,17,2647.0
2022,18,2336.0
2022,19,2485.0
2022,20,2398.0
2022,21,2423.0
2022,22,2596.0
