Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,187291877.0,17575949.0,169715928.0
1,Beverages and tobacco,Ποτά και καπνός,7917550.0,1090008.0,6827542.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",251758522.0,449351723.0,-197593201.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",857234873.0,2226331266.0,-1369096393.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,11798919.0,13267.0,11785652.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,24956532.0,111298750.0,-86342218.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",1455781280.0,22904087.0,1432877193.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,16134884.0,5237740.0,10897144.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,2544662.0,1301627.0,1243035.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",6972.0,9.0,6963.0
