Section_Code,Section_EN,Section_GR,Exports,Imports,Balance
0,Food and live animals,Τρόφιμα και ζωντανά ζώα,188549902.0,47406173.0,141143729.0
1,Beverages and tobacco,Ποτά και καπνός,8868211.0,1303603.0,7564608.0
2,"Crude materials, inedible, except fuels","Πρώτες ύλες μη εδώδιμες, εκτός από καύσιμα",355412488.0,216007408.0,139405080.0
3,"Mineral fuels, lubricants and related materials","Ορυκτά, καύσιμα, λιπαντικά κλπ.",791676662.0,1652166900.0,-860490238.0
4,"Animal and vegetable oils, fats and Waxes",Λάδια και λίπη ζωικής ή φυτικής προέλευσης,9665147.0,15749.0,9649398.0
5,"Chemicals and related products, n.e.s.",Χημικά προϊόντα και συναφή,23492186.0,115990449.0,-92498263.0
6,Manufactured goods classified chiefly by material,"Βιομηχανικά είδη, ταξινομημένα κυρίως κατά πρώτη ύλη",1949206669.0,16045330.0,1933161339.0
7,Machinery and transport equipment,Μηχανήματα και υλικό μεταφορών,16545717.0,5986037.0,10559680.0
8,Miscellaneous manufactured articles,Διάφορα βιομηχανικά είδη,3201293.0,1185360.0,2015933.0
9,Commodities and transactions not classified elsewhere in the SITC,"Είδη και συναλλαγές, μη ταξινομημένα κατά κατηγορίες",72790.0,30.0,72760.0
