YearWeekISO,Date,DisplayDate,TargetGroup,TargetGroupPop,FirstDose,SecondDose,FirstDoseTotal,SecondDoseTotal,FirstDoseTotalPct,SecondDoseTotalPct
2020-W52,2020-12-21,21/12/20,ALL,8864187.0,240,0,240,0,0.0,0.0
2020-W52,2020-12-21,21/12/20,Age18_24,782452.0,1,0,1,0,0.0,0.0
2020-W52,2020-12-21,21/12/20,Age25_49,3497414.0,64,0,64,0,0.0,0.0
2020-W52,2020-12-21,21/12/20,Age50_59,1515472.0,74,0,74,0,0.0,0.0
2020-W52,2020-12-21,21/12/20,Age60+,3068849.0,101,0,101,0,0.0,0.0
2020-W52,2020-12-21,21/12/20,Age60_69,1291651.0,98,0,98,0,0.0001,0.0
2020-W52,2020-12-21,21/12/20,Age70_79,1003958.0,2,0,2,0,0.0,0.0
2020-W52,2020-12-21,21/12/20,Age80+,773240.0,1,0,1,0,0.0,0.0
2020-W52,2020-12-21,21/12/20,Age<60,5795338.0,139,0,139,0,0.0,0.0
2020-W52,2020-12-21,21/12/20,HCW,274955.0,230,0,230,0,0.0008,0.0
2020-W53,2020-12-28,28/12/20,ALL,8864187.0,3627,0,3867,0,0.0004,0.0
2020-W53,2020-12-28,28/12/20,Age18_24,782452.0,5,0,6,0,0.0,0.0
2020-W53,2020-12-28,28/12/20,Age25_49,3497414.0,1982,0,2046,0,0.0006,0.0
2020-W53,2020-12-28,28/12/20,Age50_59,1515472.0,1234,0,1308,0,0.0009,0.0
2020-W53,2020-12-28,28/12/20,Age60+,3068849.0,406,0,507,0,0.0002,0.0
2020-W53,2020-12-28,28/12/20,Age60_69,1291651.0,394,0,492,0,0.0004,0.0
2020-W53,2020-12-28,28/12/20,Age70_79,1003958.0,11,0,13,0,0.0,0.0
2020-W53,2020-12-28,28/12/20,Age80+,773240.0,1,0,2,0,0.0,0.0
2020-W53,2020-12-28,28/12/20,Age<60,5795338.0,3221,0,3360,0,0.0006,0.0
2020-W53,2020-12-28,28/12/20,HCW,274955.0,3509,0,3739,0,0.0136,0.0
2021-W01,2021-01-04,04/01/21,ALL,8864187.0,40879,0,44746,0,0.005,0.0
2021-W01,2021-01-04,04/01/21,Age18_24,782452.0,143,0,149,0,0.0002,0.0
