Country,Building_Permits_Dwellings_2025,Building_Permits_Dwellings_Per_Thousand_Habitants_2025,Building_Permits_Sqm_Useful_Area_2025,Building_Permits_Sqm_Useful_Area_Per_Thousand_Habitants_2025
Αυστρία,31700,3.45,3800000,413.17
Βέλγιο,41200,3.47,6500000,546.98
Βουλγαρία,49800,7.74,5900000,916.52
Κύπρος,16200,16.48,2800000,2848.52
Τσεχία,33900,3.11,3600000,329.99
Γερμανία,185100,2.21,22300000,266.82
Δανία,20000,3.34,2500000,417.17
Εσθονία,6700,4.89,600000,437.96
Ελλάδα,31900,3.08,2800000,269.95
Ισπανία,200000,4.07,15900000,323.64
E.E.,1638600,,171700000,
Φινλανδία,15400,2.73,1600000,283.89
Γαλλία,330500,4.8,28600000,415.2
Κροατία,21700,5.6,2300000,593.65
Ουγγαρία,27100,2.84,3100000,324.96
Ιρλανδία,35000,6.43,4200000,772.02
Ιταλια,,,,
Λιθουανία,15800,5.47,1500000,518.91
Λουξεμβούργο,,,,
Λετονία,7000,3.76,900000,483.72
Μάλτα,12300,21.42,1800000,3134.52
Ολλανδία,60600,3.36,8400000,465.53
Πολωνία,260900,7.15,23300000,638.4
Πορτογαλία,40900,,8100000,
Ρουμανία,89400,4.69,9700000,509.37
Σουηδία,30400,2.87,3900000,368.35
Σλοβενία,4300,2.02,900000,422.37
Σλοβακία,14000,2.58,1700000,313.68
