date,Greece,EU_Total,EU_Median
2000,87.64,,57.21
2001,100.26,,59.85
2002,114.16,,61.66
2003,120.31,,65.25
2004,123.09,,72.51
2005,136.51,85.85,82.92
2006,154.58,94.31,94.25
2007,163.78,102.32,106.77
2008,166.54,103.67,112.92
2009,160.35,99.78,96.9
2010,152.88,100.25,97.06
2011,144.52,100.88,95.6
2012,127.67,98.76,94.87
2013,113.82,97.06,95.81
2014,105.32,97.75,96.61
2015,100.0,100.0,100.0
2016,97.62,104.31,105.4
2017,96.63,109.3,111.96
2018,98.38,114.8,118.62
2019,105.48,120.39,125.27
2020,110.22,127.12,134.82
2021,118.61,137.81,147.77
2022,132.77,148.81,164.1
2023,151.16,148.39,168.99
2024,164.8,153.37,164.8
